sustainability feasible innovative novelty 
1, [7, 7, 7, 6]
117, [3, 10, 11, 15]
119, [8, 3, 3, 5]
120, [8, 8, 5, 2]
121, [3, 16, 16, 3]
122, [5, 5, 5, 2]
124, [4, 4, 4, 4]
125, [6, 6, 37, 3]
126, [3, 3, 3, 3]
127, [3, 2, 3, 3]
128, [6, 4, 4, 3]
129, [1, 1, 1, 1]
130, [7, 5, 9, 2]
131, [4, 4, 4, 2]
132, [4, 4, 3, 3]
133, [5, 5, 5, 2]
134, [3, 3, 3, 2]
135, [2, 2, 2, 2]
136, [3, 6, 5, 5]
137, [3, 3, 5, 3]
138, [4, 4, 3, 2]
139, [3, 4, 2, 2]
140, [2, 2, 2, 3]
141, [10, 14, 6, 2]
142, [8, 2, 3, 2]
143, [6, 6, 6, 4]
144, [14, 3, 14, 2]
145, [4, 7, 4, 4]
146, [4, 3, 3, 2]
147, [3, 3, 3, 2]
148, [7, 4, 7, 4]
149, [2, 3, 2, 2]
150, [2, 3, 4, 2]
151, [3, 3, 4, 2]
152, [2, 2, 2, 2]
153, [4, 4, 4, 4]
155, [3, 4, 3, 2]
156, [5, 6, 5, 4]
158, [2, 2, 2, 1]
159, [2, 3, 2, 2]
160, [5, 5, 5, 2]
161, [2, 4, 5, 5]
162, [11, 6, 11, 3]
163, [2, 3, 5, 2]
164, [3, 3, 3, 5]
165, [1, 1, 1, 1]
166, [1, 1, 1, 1]
167, [6, 8, 3, 2]
168, [4, 4, 4, 2]
169, [3, 3, 3, 3]
170, [10, 5, 10, 3]
171, [4, 3, 4, 2]
172, [5, 3, 8, 3]
173, [8, 4, 4, 2]
175, [0, 0, 0, 0]
176, [4, 4, 4, 3]
177, [3, 3, 3, 4]
178, [3, 3, 3, 3]
179, [8, 9, 3, 2]
180, [1, 1, 1, 1]
181, [3, 7, 6, 6]
182, [7, 5, 7, 4]
183, [4, 4, 4, 4]
184, [5, 3, 3, 5]
185, [9, 11, 8, 2]
186, [6, 6, 2, 6]
187, [14, 14, 14, 6]
188, [3, 2, 3, 2]
189, [2, 3, 3, 3]
190, [3, 3, 3, 3]
191, [6, 6, 12, 2]
192, [3, 3, 3, 4]
194, [2, 3, 2, 2]
195, [3, 3, 3, 2]
197, [5, 3, 3, 2]
198, [4, 9, 8, 3]
199, [8, 4, 4, 4]
200, [2, 2, 5, 3]
201, [1, 1, 2, 1]
202, [3, 3, 3, 2]
203, [1, 2, 1, 2]
204, [8, 8, 8, 2]
205, [5, 5, 5, 2]
206, [4, 4, 4, 2]
207, [7, 11, 11, 6]
208, [5, 3, 3, 3]
209, [3, 9, 7, 3]
210, [8, 3, 3, 3]
212, [9, 9, 9, 9]
213, [2, 2, 7, 2]
214, [2, 2, 2, 1]
215, [6, 9, 9, 2]
216, [4, 10, 4, 2]
217, [5, 3, 4, 2]
218, [2, 2, 2, 2]
219, [6, 4, 4, 5]
220, [1, 1, 1, 1]
221, [14, 15, 10, 2]
223, [6, 6, 3, 6]
224, [4, 3, 4, 3]
226, [3, 2, 2, 1]
227, [2, 3, 3, 2]
228, [0, 0, 0, 0]
229, [5, 5, 3, 2]
230, [4, 5, 6, 2]
231, [8, 8, 5, 10]
232, [9, 6, 3, 2]
233, [4, 3, 4, 4]
234, [3, 4, 3, 4]
235, [6, 4, 7, 3]
236, [1, 1, 1, 1]
237, [3, 3, 6, 4]
238, [2, 3, 2, 2]
239, [1, 2, 2, 2]
240, [3, 3, 3, 3]
241, [1, 1, 1, 1]
242, [3, 11, 11, 11]
244, [4, 9, 8, 6]
246, [2, 2, 2, 2]
247, [3, 3, 3, 1]
248, [6, 6, 6, 1]
249, [6, 5, 6, 4]
250, [3, 2, 8, 4]
251, [1, 1, 1, 1]
252, [5, 7, 5, 7]
253, [3, 4, 3, 6]
254, [3, 4, 4, 2]
255, [0, 0, 0, 0]
256, [0, 0, 0, 0]
257, [3, 2, 3, 4]
258, [4, 3, 3, 2]
259, [3, 7, 7, 2]
260, [3, 3, 3, 5]
261, [5, 5, 5, 5]
262, [5, 7, 4, 2]
263, [2, 2, 3, 2]
264, [4, 4, 4, 4]
266, [4, 4, 4, 2]
267, [5, 5, 5, 3]
268, [1, 1, 1, 1]
269, [4, 5, 5, 3]
270, [5, 3, 5, 2]
271, [3, 3, 3, 2]
272, [20, 4, 4, 4]
273, [6, 6, 6, 2]
274, [3, 3, 3, 3]
275, [5, 5, 5, 2]
276, [6, 3, 6, 3]
277, [5, 3, 9, 3]
278, [0, 0, 0, 0]
280, [4, 8, 4, 3]
281, [7, 2, 2, 2]
282, [2, 4, 2, 4]
283, [4, 4, 4, 4]
284, [5, 3, 9, 2]
285, [6, 6, 6, 3]
286, [3, 3, 5, 2]
288, [2, 2, 2, 2]
289, [11, 12, 11, 4]
290, [3, 4, 9, 2]
291, [2, 2, 2, 1]
292, [2, 2, 2, 1]
293, [5, 5, 5, 4]
294, [4, 4, 4, 2]
295, [3, 3, 3, 2]
296, [6, 3, 3, 3]
297, [7, 7, 6, 2]
298, [8, 2, 3, 2]
299, [3, 3, 4, 2]
300, [4, 4, 4, 4]
301, [6, 3, 6, 2]
302, [1, 1, 1, 1]
303, [3, 3, 3, 4]
304, [3, 3, 4, 4]
305, [3, 2, 3, 3]
306, [3, 3, 3, 2]
307, [5, 4, 4, 2]
308, [0, 0, 0, 0]
309, [9, 14, 5, 7]
310, [5, 5, 5, 5]
311, [4, 3, 3, 2]
312, [3, 4, 1, 1]
313, [4, 4, 4, 4]
314, [8, 10, 6, 2]
316, [6, 8, 4, 4]
317, [6, 2, 6, 5]
318, [0, 0, 0, 0]
319, [5, 5, 5, 4]
320, [5, 2, 5, 2]
322, [5, 5, 3, 2]
323, [7, 2, 7, 2]
324, [4, 3, 4, 2]
325, [2, 7, 7, 2]
326, [3, 3, 3, 3]
327, [2, 2, 2, 2]
328, [2, 2, 2, 2]
330, [1, 1, 1, 1]
331, [2, 10, 2, 6]
332, [4, 3, 4, 4]
333, [2, 2, 3, 1]
334, [4, 8, 9, 2]
335, [4, 1, 3, 1]
336, [4, 2, 4, 2]
337, [1, 1, 1, 1]
338, [3, 4, 3, 4]
339, [6, 6, 11, 3]
340, [2, 2, 3, 2]
341, [5, 9, 12, 12]
342, [6, 6, 3, 5]
343, [3, 3, 3, 3]
344, [3, 2, 3, 1]
345, [3, 5, 3, 5]
346, [1, 1, 1, 1]
347, [6, 6, 4, 3]
348, [3, 8, 5, 3]
350, [4, 4, 4, 4]
351, [2, 2, 2, 2]
352, [3, 6, 4, 3]
353, [4, 3, 7, 2]
354, [8, 8, 4, 10]
355, [1, 2, 2, 1]
356, [5, 4, 5, 3]
357, [5, 5, 7, 7]
358, [4, 4, 4, 3]
359, [6, 6, 6, 6]
360, [8, 4, 4, 2]
362, [2, 3, 3, 2]
363, [9, 9, 9, 9]
364, [2, 2, 2, 2]
365, [2, 2, 2, 2]
366, [5, 5, 4, 1]
367, [3, 3, 3, 3]
368, [5, 2, 2, 2]
369, [3, 2, 3, 3]
370, [3, 4, 3, 2]
371, [3, 3, 4, 3]
372, [3, 3, 3, 4]
373, [1, 1, 1, 1]
374, [4, 2, 4, 2]
375, [4, 2, 4, 2]
377, [4, 4, 4, 1]
378, [16, 22, 13, 2]
379, [3, 4, 3, 3]
380, [3, 5, 2, 5]
381, [2, 6, 6, 2]
383, [12, 2, 11, 2]
384, [4, 3, 2, 1]
385, [1, 1, 2, 1]
386, [6, 7, 8, 2]
387, [4, 4, 4, 2]
388, [6, 6, 6, 2]
389, [3, 3, 3, 3]
390, [8, 3, 3, 3]
391, [3, 8, 3, 3]
392, [5, 3, 5, 5]
393, [4, 4, 4, 2]
394, [3, 3, 3, 3]
395, [1, 1, 1, 1]
396, [8, 3, 5, 2]
397, [4, 3, 2, 4]
398, [2, 2, 3, 1]
399, [2, 3, 3, 2]
400, [0, 0, 0, 0]
401, [3, 2, 3, 3]
402, [7, 6, 4, 2]
403, [2, 2, 2, 2]
404, [2, 2, 2, 2]
405, [3, 2, 3, 4]
406, [11, 11, 11, 4]
407, [6, 6, 6, 3]
410, [2, 5, 5, 2]
411, [4, 4, 4, 2]
412, [3, 3, 3, 1]
414, [0, 0, 0, 0]
415, [6, 5, 5, 5]
416, [3, 3, 3, 3]
417, [5, 3, 3, 6]
418, [6, 2, 6, 3]
419, [2, 2, 2, 2]
420, [6, 5, 6, 5]
421, [3, 12, 4, 8]
422, [3, 3, 3, 4]
423, [4, 3, 3, 3]
424, [3, 3, 3, 2]
425, [4, 4, 4, 2]
426, [5, 5, 8, 2]
428, [4, 3, 4, 2]
429, [3, 7, 4, 3]
430, [3, 6, 3, 2]
431, [4, 3, 4, 2]
432, [5, 3, 5, 3]
433, [3, 4, 4, 4]
434, [3, 2, 4, 1]
435, [3, 3, 3, 1]
436, [5, 5, 5, 5]
437, [4, 4, 4, 2]
438, [3, 3, 3, 3]
439, [6, 3, 6, 6]
440, [2, 4, 4, 2]
441, [6, 10, 5, 5]
442, [5, 4, 5, 5]
443, [4, 7, 7, 7]
444, [3, 3, 3, 3]
445, [5, 5, 5, 2]
446, [6, 7, 7, 2]
447, [6, 3, 4, 2]
448, [5, 4, 5, 2]
449, [3, 2, 4, 4]
450, [0, 0, 0, 0]
451, [3, 3, 6, 3]
452, [0, 0, 0, 0]
453, [2, 2, 2, 1]
454, [2, 5, 5, 2]
455, [1, 1, 2, 1]
456, [4, 4, 4, 3]
458, [2, 2, 2, 1]
459, [4, 4, 7, 4]
460, [4, 4, 3, 3]
461, [6, 3, 3, 7]
462, [5, 3, 7, 6]
463, [7, 12, 7, 3]
464, [4, 4, 5, 16]
465, [5, 2, 9, 3]
466, [1, 1, 1, 1]
467, [5, 4, 5, 4]
468, [5, 7, 5, 2]
469, [3, 3, 3, 9]
470, [1, 1, 1, 1]
472, [5, 6, 5, 2]
473, [6, 7, 6, 2]
475, [9, 5, 6, 2]
477, [3, 8, 3, 3]
478, [5, 5, 4, 5]
480, [5, 4, 4, 2]
481, [3, 2, 3, 2]
482, [3, 6, 5, 3]
483, [2, 2, 6, 2]
484, [3, 3, 3, 3]
485, [5, 7, 7, 7]
486, [3, 2, 3, 2]
488, [3, 3, 3, 3]
489, [1, 2, 1, 4]
490, [2, 2, 2, 2]
491, [3, 2, 3, 4]
492, [3, 3, 4, 2]
493, [3, 3, 3, 3]
494, [2, 2, 2, 2]
495, [3, 3, 3, 2]
496, [7, 5, 5, 5]
497, [5, 5, 6, 3]
498, [1, 1, 1, 1]
499, [4, 3, 4, 3]
500, [2, 2, 2, 1]
501, [3, 2, 3, 2]
502, [5, 6, 3, 7]
503, [3, 6, 6, 2]
504, [3, 8, 8, 3]
505, [6, 6, 6, 2]
506, [9, 9, 9, 2]
507, [4, 4, 4, 2]
508, [2, 2, 2, 2]
509, [3, 2, 4, 3]
510, [5, 6, 6, 6]
511, [1, 1, 1, 1]
512, [5, 9, 4, 2]
513, [4, 4, 4, 2]
514, [4, 8, 4, 4]
515, [7, 2, 4, 6]
516, [4, 3, 4, 3]
517, [4, 4, 4, 2]
518, [3, 3, 8, 2]
519, [8, 8, 8, 2]
520, [3, 3, 3, 3]
521, [4, 3, 4, 5]
522, [2, 2, 2, 1]
523, [5, 8, 8, 4]
524, [3, 3, 3, 4]
525, [4, 4, 4, 4]
526, [2, 2, 3, 2]
527, [3, 4, 4, 2]
528, [1, 1, 1, 1]
529, [3, 3, 5, 4]
530, [9, 2, 11, 3]
531, [2, 2, 2, 1]
532, [5, 3, 5, 3]
533, [6, 6, 7, 6]
534, [4, 2, 4, 2]
535, [3, 3, 5, 1]
536, [2, 2, 2, 1]
537, [2, 2, 2, 2]
538, [6, 7, 7, 2]
539, [0, 0, 0, 0]
540, [4, 6, 4, 2]
541, [3, 3, 3, 2]
542, [6, 6, 6, 2]
543, [1, 1, 1, 1]
544, [2, 3, 2, 1]
545, [0, 0, 0, 0]
546, [5, 3, 5, 2]
547, [3, 3, 3, 2]
548, [4, 3, 3, 2]
549, [2, 7, 5, 2]
550, [4, 2, 3, 3]
552, [4, 4, 4, 2]
553, [1, 1, 1, 1]
554, [4, 6, 6, 2]
555, [1, 1, 1, 1]
557, [3, 9, 9, 3]
558, [6, 6, 6, 6]
559, [7, 2, 7, 7]
560, [3, 3, 3, 3]
561, [4, 5, 4, 4]
562, [13, 19, 5, 2]
563, [4, 2, 3, 4]
564, [0, 0, 0, 0]
565, [3, 4, 4, 4]
566, [0, 0, 0, 0]
567, [6, 4, 6, 4]
568, [0, 0, 0, 0]
569, [7, 7, 5, 5]
570, [3, 6, 3, 3]
571, [3, 3, 3, 2]
572, [3, 3, 3, 3]
573, [3, 2, 3, 2]
574, [6, 6, 6, 6]
575, [6, 6, 6, 2]
576, [2, 2, 2, 2]
577, [4, 5, 4, 2]
580, [5, 3, 5, 3]
581, [4, 5, 4, 5]
582, [0, 0, 0, 0]
583, [6, 4, 10, 3]
584, [10, 10, 10, 10]
585, [3, 4, 3, 2]
586, [4, 3, 4, 4]
587, [5, 5, 5, 2]
588, [5, 5, 5, 5]
590, [4, 6, 4, 2]
591, [15, 3, 5, 2]
592, [6, 5, 5, 2]
594, [1, 1, 1, 1]
595, [3, 2, 3, 3]
596, [9, 13, 8, 7]
597, [5, 6, 5, 10]
598, [7, 2, 3, 7]
599, [4, 4, 4, 2]
600, [3, 3, 3, 2]
601, [7, 2, 6, 3]
602, [3, 3, 3, 1]
603, [1, 1, 1, 1]
604, [3, 3, 3, 5]
605, [3, 4, 4, 3]
608, [2, 2, 2, 2]
609, [5, 5, 5, 5]
610, [3, 3, 4, 4]
612, [4, 4, 4, 4]
614, [2, 4, 4, 4]
615, [3, 5, 5, 2]
616, [12, 3, 3, 12]
617, [4, 4, 4, 4]
618, [0, 0, 0, 0]
619, [0, 0, 0, 0]
620, [9, 3, 14, 3]
621, [4, 3, 4, 2]
622, [3, 3, 3, 4]
624, [2, 2, 2, 2]
625, [1, 1, 1, 1]
626, [1, 1, 2, 1]
627, [4, 4, 5, 4]
628, [3, 4, 3, 2]
629, [8, 8, 8, 10]
630, [4, 6, 4, 3]
631, [3, 3, 5, 3]
632, [3, 2, 9, 2]
633, [3, 3, 7, 2]
634, [3, 2, 2, 2]
635, [3, 2, 3, 3]
636, [3, 3, 3, 3]
637, [1, 1, 5, 5]
639, [0, 0, 0, 0]
640, [3, 3, 4, 3]
641, [2, 3, 3, 3]
642, [3, 3, 3, 3]
643, [5, 4, 5, 8]
644, [6, 6, 6, 2]
645, [4, 4, 3, 3]
646, [3, 3, 3, 2]
647, [7, 5, 7, 2]
648, [3, 4, 6, 2]
649, [5, 4, 4, 6]
650, [3, 2, 2, 1]
652, [5, 2, 7, 2]
653, [4, 4, 3, 2]
654, [2, 2, 2, 2]
655, [4, 4, 4, 3]
656, [3, 1, 3, 1]
657, [2, 2, 3, 3]
658, [2, 2, 2, 1]
659, [4, 4, 4, 2]
660, [4, 6, 4, 2]
661, [5, 5, 5, 2]
662, [12, 2, 12, 3]
663, [4, 6, 6, 3]
664, [3, 3, 4, 5]
666, [4, 4, 5, 2]
668, [5, 6, 5, 2]
669, [6, 3, 4, 3]
670, [4, 2, 4, 1]
671, [2, 3, 3, 3]
672, [2, 2, 2, 2]
673, [5, 5, 6, 6]
674, [11, 3, 11, 3]
675, [2, 2, 2, 1]
676, [6, 6, 6, 6]
677, [3, 3, 8, 3]
679, [5, 6, 5, 2]
680, [9, 7, 3, 7]
681, [3, 3, 3, 5]
682, [8, 2, 2, 2]
683, [4, 4, 4, 4]
684, [2, 2, 2, 2]
685, [5, 5, 5, 4]
686, [14, 14, 14, 2]
687, [3, 3, 3, 1]
688, [6, 2, 4, 1]
689, [3, 2, 2, 1]
690, [2, 2, 2, 2]
691, [9, 9, 9, 2]
692, [8, 10, 8, 4]
693, [4, 12, 4, 2]
695, [3, 5, 3, 2]
696, [2, 2, 2, 1]
698, [2, 2, 2, 2]
699, [4, 4, 4, 4]
700, [3, 3, 2, 4]
701, [2, 2, 2, 1]
702, [8, 9, 6, 6]
703, [3, 4, 5, 3]
704, [3, 3, 3, 2]
705, [6, 7, 3, 3]
706, [5, 5, 10, 6]
707, [6, 8, 5, 2]
708, [3, 6, 3, 3]
709, [4, 4, 4, 4]
710, [1, 1, 1, 1]
712, [4, 2, 4, 4]
713, [1, 1, 1, 1]
714, [6, 5, 5, 5]
715, [1, 2, 1, 1]
716, [3, 3, 3, 4]
717, [8, 3, 3, 3]
718, [4, 4, 4, 4]
720, [2, 3, 2, 2]
721, [2, 2, 3, 3]
722, [6, 6, 5, 3]
723, [7, 7, 7, 3]
724, [3, 2, 3, 2]
725, [3, 2, 2, 2]
726, [6, 5, 6, 5]
727, [5, 5, 4, 2]
728, [4, 3, 4, 2]
729, [3, 3, 3, 5]
730, [4, 4, 4, 1]
731, [3, 8, 10, 3]
733, [7, 7, 7, 3]
734, [6, 6, 6, 2]
735, [3, 3, 3, 2]
736, [4, 9, 4, 4]
737, [2, 2, 2, 4]
738, [2, 2, 2, 2]
739, [5, 5, 5, 5]
740, [4, 4, 3, 2]
741, [2, 2, 2, 2]
742, [1, 1, 1, 1]
743, [2, 4, 2, 4]
744, [1, 1, 1, 1]
745, [4, 5, 4, 5]
746, [7, 6, 2, 4]
747, [5, 3, 5, 3]
748, [6, 10, 6, 2]
749, [1, 1, 1, 1]
750, [5, 7, 5, 7]
751, [7, 2, 8, 8]
752, [3, 9, 8, 2]
753, [4, 4, 4, 4]
754, [8, 4, 5, 2]
755, [1, 1, 1, 1]
757, [5, 5, 6, 2]
758, [2, 2, 3, 3]
759, [6, 4, 6, 6]
760, [1, 1, 1, 1]
761, [2, 3, 2, 3]
762, [0, 0, 0, 0]
763, [9, 6, 6, 6]
765, [4, 3, 4, 3]
766, [3, 2, 2, 2]
767, [3, 3, 3, 2]
768, [1, 1, 1, 1]
769, [8, 8, 8, 8]
770, [5, 6, 6, 2]
771, [4, 2, 5, 5]
772, [9, 6, 9, 9]
773, [5, 5, 5, 5]
774, [4, 3, 4, 2]
775, [7, 7, 7, 7]
776, [3, 3, 2, 2]
777, [2, 2, 2, 2]
778, [5, 3, 6, 2]
779, [2, 3, 3, 2]
780, [1, 1, 1, 1]
781, [5, 5, 5, 2]
782, [12, 9, 12, 12]
783, [4, 3, 4, 3]
784, [3, 3, 4, 4]
785, [1, 2, 2, 2]
786, [9, 2, 7, 3]
787, [3, 3, 8, 8]
788, [6, 2, 6, 6]
789, [4, 8, 4, 4]
790, [5, 5, 5, 1]
791, [3, 3, 3, 3]
793, [5, 8, 3, 3]
795, [4, 6, 3, 2]
797, [2, 2, 2, 2]
798, [1, 2, 1, 1]
800, [5, 5, 3, 2]
801, [3, 4, 5, 2]
802, [1, 1, 1, 2]
803, [4, 5, 5, 3]
804, [1, 1, 1, 1]
805, [14, 14, 9, 2]
806, [3, 3, 3, 3]
807, [5, 5, 5, 3]
808, [1, 1, 1, 1]
809, [4, 4, 5, 5]
810, [3, 2, 3, 2]
811, [6, 5, 4, 6]
812, [8, 5, 6, 2]
813, [15, 8, 4, 4]
814, [2, 6, 2, 5]
815, [7, 9, 5, 5]
817, [5, 5, 5, 5]
818, [1, 1, 3, 1]
819, [6, 6, 3, 3]
820, [4, 4, 4, 2]
821, [5, 2, 5, 2]
822, [3, 3, 3, 5]
823, [3, 3, 3, 2]
824, [6, 7, 6, 6]
825, [6, 2, 6, 3]
826, [3, 7, 7, 2]
827, [12, 9, 7, 2]
828, [4, 4, 4, 2]
829, [5, 5, 4, 3]
830, [4, 4, 4, 4]
831, [4, 5, 5, 4]
832, [5, 4, 4, 5]
833, [5, 7, 7, 4]
834, [4, 4, 3, 2]
835, [4, 6, 4, 4]
836, [5, 3, 1, 3]
837, [3, 4, 3, 2]
839, [3, 3, 3, 3]
840, [2, 2, 3, 2]
841, [9, 3, 7, 5]
842, [2, 3, 3, 3]
843, [9, 9, 9, 9]
844, [3, 3, 3, 3]
845, [3, 5, 4, 5]
846, [1, 1, 1, 1]
847, [6, 5, 6, 3]
848, [3, 2, 4, 2]
849, [2, 3, 3, 3]
851, [3, 3, 4, 6]
852, [6, 7, 6, 7]
853, [3, 7, 4, 3]
855, [2, 2, 2, 1]
856, [3, 2, 3, 2]
857, [4, 4, 4, 4]
858, [4, 4, 4, 2]
859, [6, 6, 6, 6]
860, [10, 6, 6, 2]
861, [5, 3, 7, 5]
862, [2, 2, 3, 2]
864, [7, 8, 7, 2]
865, [3, 4, 3, 4]
866, [3, 2, 3, 2]
867, [5, 3, 5, 3]
868, [3, 2, 4, 2]
869, [0, 0, 0, 0]
870, [5, 8, 5, 8]
871, [3, 3, 3, 3]
872, [0, 0, 0, 0]
873, [2, 5, 2, 2]
874, [4, 6, 4, 2]
875, [10, 4, 3, 4]
876, [5, 19, 5, 4]
877, [4, 3, 3, 3]
878, [9, 2, 2, 4]
879, [5, 5, 5, 5]
880, [4, 4, 4, 4]
881, [2, 2, 7, 7]
884, [3, 2, 2, 2]
885, [3, 3, 4, 3]
886, [3, 7, 4, 4]
887, [7, 7, 7, 2]
888, [4, 4, 6, 2]
889, [18, 3, 18, 5]
890, [1, 1, 1, 1]
891, [4, 10, 4, 4]
892, [4, 6, 4, 6]
893, [3, 2, 3, 3]
894, [6, 2, 7, 3]
895, [1, 1, 1, 1]
896, [7, 3, 5, 4]
897, [4, 7, 7, 7]
898, [8, 7, 7, 7]
899, [2, 2, 2, 2]
900, [2, 2, 2, 1]
901, [2, 3, 3, 2]
902, [5, 7, 4, 2]
903, [3, 3, 3, 3]
904, [2, 6, 4, 2]
905, [8, 4, 4, 6]
906, [1, 1, 1, 1]
907, [3, 14, 14, 3]
908, [3, 3, 3, 6]
909, [3, 8, 7, 2]
910, [0, 0, 0, 0]
911, [2, 2, 2, 2]
912, [0, 0, 0, 0]
913, [3, 2, 2, 2]
915, [3, 3, 3, 3]
916, [6, 9, 8, 2]
917, [5, 2, 4, 4]
918, [4, 4, 5, 5]
919, [6, 10, 6, 3]
920, [4, 2, 3, 2]
921, [3, 5, 3, 2]
922, [4, 4, 4, 3]
924, [5, 2, 5, 2]
925, [3, 3, 3, 3]
926, [4, 4, 5, 2]
928, [5, 5, 4, 4]
930, [5, 3, 6, 3]
931, [1, 1, 1, 1]
932, [8, 3, 8, 3]
933, [3, 3, 3, 3]
934, [4, 3, 4, 3]
935, [4, 3, 9, 3]
937, [3, 3, 3, 3]
938, [5, 8, 10, 2]
939, [2, 2, 2, 2]
940, [2, 2, 2, 2]
941, [6, 3, 6, 6]
942, [3, 3, 3, 2]
943, [3, 3, 3, 2]
944, [4, 4, 4, 1]
945, [3, 3, 3, 1]
946, [1, 1, 1, 1]
947, [4, 2, 2, 2]
948, [6, 5, 6, 6]
949, [7, 4, 8, 6]
950, [6, 4, 6, 9]
951, [17, 5, 8, 3]
952, [6, 2, 3, 2]
953, [3, 4, 3, 2]
954, [2, 1, 2, 1]
955, [4, 2, 5, 2]
956, [3, 3, 3, 3]
957, [5, 3, 3, 3]
958, [10, 10, 10, 10]
959, [3, 3, 3, 2]
961, [3, 4, 4, 2]
962, [2, 2, 2, 2]
963, [5, 3, 11, 3]
964, [1, 1, 1, 1]
965, [3, 3, 3, 2]
966, [2, 3, 3, 2]
967, [3, 2, 3, 2]
968, [10, 10, 7, 8]
969, [3, 3, 3, 2]
970, [12, 8, 12, 12]
971, [4, 4, 4, 2]
972, [6, 8, 4, 2]
973, [3, 3, 10, 3]
974, [5, 2, 5, 2]
975, [4, 3, 4, 2]
976, [2, 5, 2, 2]
977, [3, 3, 3, 3]
978, [3, 2, 3, 2]
979, [2, 2, 4, 2]
980, [4, 2, 3, 2]
981, [6, 7, 7, 2]
982, [4, 4, 4, 2]
983, [3, 3, 3, 2]
984, [6, 2, 5, 8]
986, [7, 5, 7, 2]
987, [3, 3, 3, 1]
988, [4, 4, 4, 2]
989, [3, 3, 3, 3]
990, [5, 6, 6, 4]
992, [4, 2, 4, 4]
993, [2, 3, 2, 2]
994, [2, 7, 5, 2]
996, [3, 2, 3, 2]
998, [5, 4, 3, 2]
999, [3, 3, 3, 1]
1000, [2, 6, 6, 2]
1002, [3, 3, 6, 3]
1003, [2, 4, 2, 4]
1004, [3, 3, 3, 2]
1005, [4, 4, 4, 2]
1006, [5, 10, 7, 3]
1007, [4, 3, 6, 3]
1008, [3, 3, 3, 3]
1009, [5, 9, 4, 4]
1010, [5, 8, 5, 3]
1011, [3, 4, 1, 1]
1012, [1, 1, 1, 1]
1013, [3, 3, 3, 3]
1014, [30, 5, 5, 34]
1015, [3, 2, 3, 1]
1016, [3, 4, 3, 2]
1017, [4, 4, 4, 4]
1019, [5, 3, 5, 3]
1020, [4, 2, 4, 5]
1021, [4, 3, 4, 2]
